user_id,username,email,signup_date,last_login,activity_score,preferences
USER10049,user_1513,user_1513@example.com,2025-08-20,2026-01-31 06:06:16,27,{"theme": "dark", "notifications": true}
USER10050,user_3378,user_3378@example.com,2025-10-21,2026-01-31 13:06:16,37,{"theme": "light", "notifications": true}
USER10051,user_2127,user_2127@example.com,2025-08-10,2026-01-31 20:06:16,54,{"theme": "light", "notifications": false}
USER10052,user_1269,user_1269@example.com,2026-01-25,2026-01-31 05:06:16,73,{"theme": "light", "notifications": true}
USER10053,user_1743,user_1743@example.com,2025-09-05,2026-01-31 17:06:16,12,{"theme": "light", "notifications": true}
USER10054,user_5654,user_5654@example.com,2025-10-26,2026-01-31 20:06:16,23,{"theme": "dark", "notifications": true}
USER10055,user_6854,user_6854@example.com,2025-09-14,2026-01-31 16:06:16,36,{"theme": "dark", "notifications": false}
USER10056,user_5193,user_5193@example.com,2025-03-31,2026-01-30 22:06:16,40,{"theme": "light", "notifications": true}
USER10057,user_9924,user_9924@example.com,2026-01-14,2026-01-31 08:06:16,30,{"theme": "dark", "notifications": true}
USER10058,user_2109,user_2109@example.com,2025-09-06,2026-01-31 10:06:16,45,{"theme": "light", "notifications": true}
USER10059,user_3180,user_3180@example.com,2025-05-17,2026-01-31 02:06:16,88,{"theme": "light", "notifications": false}
USER10060,user_4164,user_4164@example.com,2025-09-26,2026-01-31 14:06:16,57,{"theme": "dark", "notifications": false}
USER10061,user_2683,user_2683@example.com,2025-05-07,2026-01-31 12:06:16,57,{"theme": "dark", "notifications": false}
USER10062,user_1224,user_1224@example.com,2025-07-02,2026-01-31 08:06:16,83,{"theme": "light", "notifications": false}
USER10063,user_9697,user_9697@example.com,2025-07-18,2026-01-31 04:06:16,80,{"theme": "dark", "notifications": true}
USER10064,user_4653,user_4653@example.com,2025-06-07,2026-01-30 20:06:16,11,{"theme": "light", "notifications": true}
USER10065,user_8317,user_8317@example.com,2025-02-24,2026-01-31 20:06:16,25,{"theme": "dark", "notifications": false}
USER10066,user_1225,user_1225@example.com,2025-08-18,2026-01-31 08:06:16,17,{"theme": "light", "notifications": true}
USER10067,user_1582,user_1582@example.com,2026-01-30,2026-01-30 20:06:16,65,{"theme": "dark", "notifications": false}
USER10068,user_6763,user_6763@example.com,2025-11-30,2026-01-31 17:06:16,52,{"theme": "dark", "notifications": true}
USER10069,user_2517,user_2517@example.com,2025-10-23,2026-01-31 03:06:16,58,{"theme": "light", "notifications": true}
USER10070,user_4116,user_4116@example.com,2025-09-18,2026-01-31 09:06:16,64,{"theme": "dark", "notifications": false}
USER10071,user_4343,user_4343@example.com,2026-01-19,2026-01-31 09:06:16,93,{"theme": "dark", "notifications": false}
USER10072,user_3249,user_3249@example.com,2025-02-25,2026-01-31 02:06:16,67,{"theme": "dark", "notifications": false}
USER10073,user_3137,user_3137@example.com,2025-05-11,2026-01-31 04:06:16,6,{"theme": "dark", "notifications": false}
USER10074,user_6852,user_6852@example.com,2025-03-28,2026-01-30 23:06:16,13,{"theme": "dark", "notifications": true}
USER10075,user_7347,user_7347@example.com,2025-04-10,2026-01-31 00:06:16,80,{"theme": "dark", "notifications": true}
USER10076,user_2985,user_2985@example.com,2025-05-12,2026-01-31 13:06:16,88,{"theme": "dark", "notifications": false}
USER10077,user_3727,user_3727@example.com,2025-07-27,2026-01-30 23:06:16,77,{"theme": "light", "notifications": true}
USER10078,user_1897,user_1897@example.com,2026-01-05,2026-01-31 08:06:16,97,{"theme": "dark", "notifications": true}
USER10079,user_7114,user_7114@example.com,2025-03-24,2026-01-31 08:06:16,52,{"theme": "dark", "notifications": false}
USER10080,user_6909,user_6909@example.com,2025-03-18,2026-01-31 11:06:16,65,{"theme": "light", "notifications": false}
USER10081,user_3149,user_3149@example.com,2025-08-13,2026-01-30 22:06:16,12,{"theme": "light", "notifications": true}
USER10082,user_5600,user_5600@example.com,2025-06-16,2026-01-31 11:06:16,46,{"theme": "dark", "notifications": true}
USER10083,user_1047,user_1047@example.com,2025-05-01,2026-01-31 11:06:16,46,{"theme": "light", "notifications": true}
USER10084,user_9501,user_9501@example.com,2025-05-30,2026-01-31 18:06:16,60,{"theme": "light", "notifications": false}
USER10085,user_5522,user_5522@example.com,2025-05-20,2026-01-31 03:06:16,86,{"theme": "dark", "notifications": true}
USER10086,user_2682,user_2682@example.com,2025-11-20,2026-01-30 23:06:16,51,{"theme": "dark", "notifications": false}
USER10087,user_2991,user_2991@example.com,2025-09-30,2026-01-31 06:06:16,81,{"theme": "light", "notifications": true}
USER10088,user_5804,user_5804@example.com,2025-02-05,2026-01-31 06:06:16,4,{"theme": "light", "notifications": true}
USER10089,user_4254,user_4254@example.com,2025-02-26,2026-01-30 23:06:16,53,{"theme": "dark", "notifications": true}
USER10090,user_3495,user_3495@example.com,2025-05-28,2026-01-31 02:06:16,31,{"theme": "dark", "notifications": true}
USER10091,user_4749,user_4749@example.com,2025-05-09,2026-01-30 20:06:16,4,{"theme": "dark", "notifications": false}
USER10092,user_4110,user_4110@example.com,2025-06-15,2026-01-30 22:06:16,60,{"theme": "dark", "notifications": false}
USER10093,user_4817,user_4817@example.com,2025-05-15,2026-01-30 23:06:16,37,{"theme": "dark", "notifications": false}
USER10094,user_2177,user_2177@example.com,2026-01-25,2026-01-31 09:06:16,53,{"theme": "light", "notifications": false}
USER10095,user_1414,user_1414@example.com,2025-10-20,2026-01-31 11:06:16,57,{"theme": "dark", "notifications": false}
USER10096,user_8644,user_8644@example.com,2025-04-25,2026-01-31 01:06:16,93,{"theme": "dark", "notifications": false}
USER10097,user_9774,user_9774@example.com,2025-03-08,2026-01-31 11:06:16,20,{"theme": "dark", "notifications": false}
USER10098,user_2787,user_2787@example.com,2025-06-07,2026-01-31 16:06:16,38,{"theme": "light", "notifications": true}
USER10099,user_9123,user_9123@example.com,2025-08-20,2026-01-30 22:06:16,77,{"theme": "dark", "notifications": false}
USER10100,user_4224,user_4224@example.com,2025-08-14,2026-01-31 13:06:16,99,{"theme": "light", "notifications": true}
USER10101,user_8725,user_8725@example.com,2025-03-31,2026-01-31 03:06:16,100,{"theme": "light", "notifications": false}
USER10102,user_8343,user_8343@example.com,2025-05-10,2026-01-31 17:06:16,48,{"theme": "light", "notifications": true}
USER10103,user_5477,user_5477@example.com,2025-11-10,2026-01-31 06:06:16,35,{"theme": "light", "notifications": false}
USER10104,user_6265,user_6265@example.com,2026-01-23,2026-01-31 04:06:16,61,{"theme": "dark", "notifications": true}
USER10105,user_5516,user_5516@example.com,2025-06-07,2026-01-31 10:06:16,59,{"theme": "dark", "notifications": true}
USER10106,user_6251,user_6251@example.com,2025-06-03,2026-01-31 11:06:16,83,{"theme": "dark", "notifications": true}
USER10107,user_9274,user_9274@example.com,2025-07-13,2026-01-31 02:06:16,75,{"theme": "light", "notifications": false}
USER10108,user_1670,user_1670@example.com,2026-01-07,2026-01-31 06:06:16,95,{"theme": "dark", "notifications": true}
USER10109,user_6510,user_6510@example.com,2025-12-15,2026-01-31 03:06:16,18,{"theme": "light", "notifications": true}
USER10110,user_6761,user_6761@example.com,2025-12-31,2026-01-31 09:06:16,9,{"theme": "dark", "notifications": false}
USER10111,user_8916,user_8916@example.com,2025-04-22,2026-01-31 20:06:16,42,{"theme": "dark", "notifications": false}
USER10112,user_8760,user_8760@example.com,2025-04-17,2026-01-31 13:06:16,19,{"theme": "dark", "notifications": false}
USER10113,user_4764,user_4764@example.com,2026-01-18,2026-01-31 02:06:16,66,{"theme": "light", "notifications": true}
USER10114,user_7486,user_7486@example.com,2025-03-05,2026-01-30 22:06:16,34,{"theme": "light", "notifications": true}
USER10115,user_3005,user_3005@example.com,2025-10-13,2026-01-31 09:06:16,92,{"theme": "light", "notifications": false}
USER10116,user_8923,user_8923@example.com,2025-11-29,2026-01-31 04:06:16,51,{"theme": "light", "notifications": true}
USER10117,user_6295,user_6295@example.com,2025-07-21,2026-01-31 18:06:16,84,{"theme": "dark", "notifications": true}
USER10118,user_5362,user_5362@example.com,2025-08-12,2026-01-31 17:06:16,100,{"theme": "light", "notifications": true}
USER10119,user_2352,user_2352@example.com,2025-06-21,2026-01-31 01:06:16,27,{"theme": "light", "notifications": false}
USER10120,user_2543,user_2543@example.com,2025-04-18,2026-01-31 10:06:16,98,{"theme": "dark", "notifications": false}
USER10121,user_1400,user_1400@example.com,2025-06-19,2026-01-31 17:06:16,44,{"theme": "light", "notifications": true}
USER10122,user_9469,user_9469@example.com,2025-09-28,2026-01-30 22:06:16,2,{"theme": "dark", "notifications": false}
USER10123,user_1851,user_1851@example.com,2025-04-20,2026-01-31 02:06:16,20,{"theme": "light", "notifications": true}
USER10124,user_9973,user_9973@example.com,2025-02-01,2026-01-31 14:06:16,67,{"theme": "light", "notifications": false}
USER10125,user_8204,user_8204@example.com,2025-04-19,2026-01-31 01:06:16,30,{"theme": "dark", "notifications": false}
USER10126,user_5271,user_5271@example.com,2025-10-18,2026-01-30 21:06:16,70,{"theme": "dark", "notifications": true}
USER10127,user_2367,user_2367@example.com,2025-10-19,2026-01-31 13:06:16,36,{"theme": "dark", "notifications": false}
USER10128,user_5725,user_5725@example.com,2025-09-10,2026-01-31 08:06:16,52,{"theme": "dark", "notifications": false}
USER10129,user_3121,user_3121@example.com,2025-08-19,2026-01-31 00:06:16,21,{"theme": "dark", "notifications": true}
USER10130,user_4467,user_4467@example.com,2025-03-29,2026-01-31 20:06:16,14,{"theme": "light", "notifications": true}
USER10131,user_3721,user_3721@example.com,2025-06-20,2026-01-31 18:06:16,87,{"theme": "dark", "notifications": false}
USER10132,user_1550,user_1550@example.com,2025-06-21,2026-01-31 19:06:16,58,{"theme": "light", "notifications": true}
USER10133,user_2698,user_2698@example.com,2025-07-22,2026-01-31 14:06:16,99,{"theme": "light", "notifications": true}
USER10134,user_3195,user_3195@example.com,2025-02-18,2026-01-30 22:06:16,70,{"theme": "light", "notifications": false}
USER10135,user_9722,user_9722@example.com,2025-02-25,2026-01-31 10:06:16,59,{"theme": "dark", "notifications": true}
USER10136,user_5663,user_5663@example.com,2025-09-02,2026-01-31 07:06:16,81,{"theme": "light", "notifications": true}
USER10137,user_8799,user_8799@example.com,2025-07-01,2026-01-31 16:06:16,83,{"theme": "dark", "notifications": false}
USER10138,user_1645,user_1645@example.com,2025-02-22,2026-01-31 20:06:16,22,{"theme": "light", "notifications": true}
USER10139,user_4589,user_4589@example.com,2025-07-26,2026-01-31 05:06:16,40,{"theme": "light", "notifications": false}
USER10140,user_1190,user_1190@example.com,2025-02-24,2026-01-31 09:06:16,53,{"theme": "dark", "notifications": false}
USER10141,user_8135,user_8135@example.com,2025-12-05,2026-01-31 06:06:16,23,{"theme": "light", "notifications": true}
USER10142,user_5263,user_5263@example.com,2025-05-14,2026-01-30 20:06:16,30,{"theme": "light", "notifications": true}
USER10143,user_5354,user_5354@example.com,2026-01-04,2026-01-31 20:06:16,85,{"theme": "dark", "notifications": true}
USER10144,user_6771,user_6771@example.com,2025-07-19,2026-01-31 07:06:16,64,{"theme": "light", "notifications": false}
USER10145,user_9111,user_9111@example.com,2025-03-24,2026-01-31 07:06:16,72,{"theme": "light", "notifications": true}
USER10146,user_7825,user_7825@example.com,2026-01-29,2026-01-31 05:06:16,28,{"theme": "light", "notifications": true}
USER10147,user_1461,user_1461@example.com,2025-12-03,2026-01-31 14:06:16,24,{"theme": "dark", "notifications": false}
USER10148,user_9775,user_9775@example.com,2025-05-03,2026-01-31 08:06:16,35,{"theme": "dark", "notifications": false}
USER10149,user_3153,user_3153@example.com,2025-04-06,2026-01-31 11:06:16,66,{"theme": "dark", "notifications": false}
USER10150,user_1342,user_1342@example.com,2025-03-22,2026-01-31 11:06:16,57,{"theme": "dark", "notifications": true}
USER10151,user_2408,user_2408@example.com,2026-01-10,2026-01-31 09:06:16,75,{"theme": "light", "notifications": true}
USER10152,user_7524,user_7524@example.com,2025-04-03,2026-01-31 01:06:16,80,{"theme": "dark", "notifications": true}
USER10153,user_6930,user_6930@example.com,2025-02-11,2026-01-31 18:06:16,52,{"theme": "dark", "notifications": true}
USER10154,user_2826,user_2826@example.com,2025-11-13,2026-01-31 13:06:16,83,{"theme": "light", "notifications": true}
USER10155,user_9969,user_9969@example.com,2025-09-09,2026-01-31 20:06:16,17,{"theme": "light", "notifications": false}
USER10156,user_5915,user_5915@example.com,2025-06-29,2026-01-31 14:06:16,98,{"theme": "dark", "notifications": false}
USER10157,user_8123,user_8123@example.com,2025-08-06,2026-01-31 09:06:16,44,{"theme": "dark", "notifications": true}
USER10158,user_2647,user_2647@example.com,2025-07-29,2026-01-31 18:06:16,86,{"theme": "light", "notifications": false}
USER10159,user_8049,user_8049@example.com,2025-11-09,2026-01-31 10:06:16,2,{"theme": "dark", "notifications": true}
USER10160,user_7882,user_7882@example.com,2025-11-14,2026-01-31 04:06:16,84,{"theme": "light", "notifications": false}
USER10161,user_5075,user_5075@example.com,2026-01-01,2026-01-31 08:06:16,68,{"theme": "light", "notifications": false}
USER10162,user_5503,user_5503@example.com,2025-03-11,2026-01-31 19:06:16,96,{"theme": "light", "notifications": false}
USER10163,user_1500,user_1500@example.com,2025-12-22,2026-01-31 13:06:16,33,{"theme": "light", "notifications": true}
USER10164,user_3078,user_3078@example.com,2025-06-03,2026-01-31 07:06:16,88,{"theme": "light", "notifications": false}
USER10165,user_3450,user_3450@example.com,2025-10-12,2026-01-30 20:06:16,25,{"theme": "dark", "notifications": true}
USER10166,user_1956,user_1956@example.com,2025-11-20,2026-01-31 13:06:16,24,{"theme": "dark", "notifications": false}
USER10167,user_4585,user_4585@example.com,2025-10-26,2026-01-31 16:06:16,68,{"theme": "light", "notifications": false}
USER10168,user_1145,user_1145@example.com,2025-06-19,2026-01-31 03:06:16,3,{"theme": "dark", "notifications": true}
USER10169,user_3203,user_3203@example.com,2025-12-19,2026-01-31 03:06:16,96,{"theme": "dark", "notifications": true}
USER10170,user_4889,user_4889@example.com,2025-03-07,2026-01-31 04:06:16,53,{"theme": "light", "notifications": true}
USER10171,user_2497,user_2497@example.com,2025-02-02,2026-01-31 11:06:16,48,{"theme": "dark", "notifications": true}
USER10172,user_1310,user_1310@example.com,2025-05-23,2026-01-30 23:06:16,52,{"theme": "light", "notifications": true}
USER10173,user_5745,user_5745@example.com,2025-10-08,2026-01-31 00:06:16,34,{"theme": "light", "notifications": false}
USER10174,user_1000,user_1000@example.com,2025-10-10,2026-01-30 21:06:16,48,{"theme": "light", "notifications": true}
USER10175,user_2990,user_2990@example.com,2025-12-25,2026-01-30 22:06:16,24,{"theme": "dark", "notifications": false}
USER10176,user_7909,user_7909@example.com,2025-08-20,2026-01-31 00:06:16,54,{"theme": "dark", "notifications": false}
USER10177,user_2388,user_2388@example.com,2025-07-21,2026-01-31 20:06:16,18,{"theme": "light", "notifications": true}
USER10178,user_1564,user_1564@example.com,2025-08-15,2026-01-31 19:06:16,32,{"theme": "light", "notifications": true}
USER10179,user_5284,user_5284@example.com,2025-09-07,2026-01-31 19:06:16,25,{"theme": "light", "notifications": false}
USER10180,user_4364,user_4364@example.com,2026-01-19,2026-01-31 11:06:16,46,{"theme": "dark", "notifications": true}
USER10181,user_9307,user_9307@example.com,2025-06-10,2026-01-31 18:06:16,21,{"theme": "light", "notifications": false}
USER10182,user_3955,user_3955@example.com,2026-01-16,2026-01-31 20:06:16,15,{"theme": "dark", "notifications": true}
USER10183,user_1897,user_1897@example.com,2025-06-24,2026-01-31 04:06:16,72,{"theme": "dark", "notifications": true}
USER10184,user_2419,user_2419@example.com,2025-08-02,2026-01-31 13:06:16,70,{"theme": "light", "notifications": true}
USER10185,user_3587,user_3587@example.com,2025-11-07,2026-01-31 04:06:16,56,{"theme": "light", "notifications": false}
USER10186,user_4507,user_4507@example.com,2025-12-05,2026-01-31 15:06:16,13,{"theme": "light", "notifications": true}
USER10187,user_5504,user_5504@example.com,2025-06-01,2026-01-31 19:06:16,88,{"theme": "light", "notifications": true}
USER10188,user_2888,user_2888@example.com,2025-08-09,2026-01-31 20:06:16,96,{"theme": "light", "notifications": true}
USER10189,user_3939,user_3939@example.com,2025-11-20,2026-01-31 15:06:16,53,{"theme": "dark", "notifications": false}
USER10190,user_4164,user_4164@example.com,2025-07-08,2026-01-31 08:06:16,21,{"theme": "light", "notifications": false}
USER10191,user_3518,user_3518@example.com,2026-01-09,2026-01-31 05:06:16,84,{"theme": "dark", "notifications": true}
USER10192,user_5912,user_5912@example.com,2025-10-30,2026-01-31 11:06:16,51,{"theme": "dark", "notifications": false}
USER10193,user_2170,user_2170@example.com,2025-08-25,2026-01-31 11:06:16,45,{"theme": "dark", "notifications": false}
USER10194,user_8414,user_8414@example.com,2026-01-03,2026-01-30 23:06:16,92,{"theme": "dark", "notifications": true}
USER10195,user_3500,user_3500@example.com,2026-01-10,2026-01-30 22:06:16,26,{"theme": "light", "notifications": true}
USER10196,user_6848,user_6848@example.com,2025-10-07,2026-01-31 01:06:16,45,{"theme": "dark", "notifications": false}
USER10197,user_1670,user_1670@example.com,2025-02-21,2026-01-31 00:06:16,87,{"theme": "light", "notifications": true}
USER10198,user_4199,user_4199@example.com,2025-05-19,2026-01-31 01:06:16,6,{"theme": "dark", "notifications": false}
USER10199,user_8240,user_8240@example.com,2025-08-31,2026-01-31 09:06:16,93,{"theme": "light", "notifications": false}
USER10200,user_1553,user_1553@example.com,2025-02-07,2026-01-31 10:06:16,63,{"theme": "dark", "notifications": true}
USER10201,user_6260,user_6260@example.com,2025-10-16,2026-01-31 12:06:16,49,{"theme": "light", "notifications": false}
USER10202,user_8661,user_8661@example.com,2025-05-19,2026-01-31 03:06:16,81,{"theme": "light", "notifications": true}
USER10203,user_3645,user_3645@example.com,2025-12-13,2026-01-31 09:06:16,19,{"theme": "dark", "notifications": false}
USER10204,user_1626,user_1626@example.com,2025-08-13,2026-01-31 14:06:16,35,{"theme": "dark", "notifications": false}
USER10205,user_4630,user_4630@example.com,2025-04-10,2026-01-31 04:06:16,26,{"theme": "dark", "notifications": true}
USER10206,user_5289,user_5289@example.com,2025-12-12,2026-01-31 05:06:16,45,{"theme": "light", "notifications": true}
USER10207,user_2650,user_2650@example.com,2025-11-08,2026-01-31 07:06:16,95,{"theme": "light", "notifications": false}
USER10208,user_9273,user_9273@example.com,2025-07-01,2026-01-31 00:06:16,47,{"theme": "dark", "notifications": false}
USER10209,user_1338,user_1338@example.com,2025-07-06,2026-01-31 17:06:16,13,{"theme": "light", "notifications": false}
USER10210,user_2360,user_2360@example.com,2025-02-14,2026-01-30 22:06:16,32,{"theme": "dark", "notifications": false}
USER10211,user_4426,user_4426@example.com,2025-04-15,2026-01-31 08:06:16,23,{"theme": "dark", "notifications": true}
USER10212,user_1402,user_1402@example.com,2025-10-19,2026-01-31 18:06:16,83,{"theme": "light", "notifications": true}
USER10213,user_3539,user_3539@example.com,2025-05-25,2026-01-31 00:06:16,61,{"theme": "dark", "notifications": false}
USER10214,user_3871,user_3871@example.com,2025-04-10,2026-01-31 06:06:16,35,{"theme": "light", "notifications": false}
USER10215,user_3916,user_3916@example.com,2025-02-24,2026-01-31 18:06:16,66,{"theme": "dark", "notifications": true}
USER10216,user_4068,user_4068@example.com,2025-02-23,2026-01-31 18:06:16,2,{"theme": "dark", "notifications": false}
USER10217,user_9423,user_9423@example.com,2025-12-19,2026-01-31 04:06:16,63,{"theme": "light", "notifications": false}
USER10218,user_6679,user_6679@example.com,2025-07-02,2026-01-31 03:06:16,4,{"theme": "light", "notifications": false}
USER10219,user_8121,user_8121@example.com,2025-02-10,2026-01-31 02:06:16,54,{"theme": "light", "notifications": false}
USER10220,user_6687,user_6687@example.com,2025-11-23,2026-01-31 17:06:16,46,{"theme": "light", "notifications": false}
USER10221,user_7877,user_7877@example.com,2025-12-20,2026-01-30 21:06:16,44,{"theme": "dark", "notifications": false}
USER10222,user_4600,user_4600@example.com,2025-05-06,2026-01-30 21:06:16,8,{"theme": "dark", "notifications": false}
USER10223,user_3320,user_3320@example.com,2025-06-10,2026-01-31 11:06:16,15,{"theme": "light", "notifications": false}
USER10224,user_9135,user_9135@example.com,2025-08-03,2026-01-31 17:06:16,34,{"theme": "light", "notifications": false}
USER10225,user_1730,user_1730@example.com,2025-11-30,2026-01-31 07:06:16,1,{"theme": "light", "notifications": true}
USER10226,user_7317,user_7317@example.com,2025-09-28,2026-01-31 14:06:16,10,{"theme": "dark", "notifications": false}
USER10227,user_4592,user_4592@example.com,2025-03-06,2026-01-31 15:06:16,69,{"theme": "light", "notifications": false}
USER10228,user_6954,user_6954@example.com,2025-12-19,2026-01-31 06:06:16,79,{"theme": "light", "notifications": true}
USER10229,user_5958,user_5958@example.com,2025-08-24,2026-01-31 20:06:16,13,{"theme": "light", "notifications": false}
USER10230,user_2355,user_2355@example.com,2025-07-29,2026-01-31 18:06:16,11,{"theme": "dark", "notifications": true}
USER10231,user_2064,user_2064@example.com,2025-07-02,2026-01-31 08:06:16,51,{"theme": "dark", "notifications": true}
USER10232,user_4732,user_4732@example.com,2025-05-15,2026-01-31 19:06:16,80,{"theme": "light", "notifications": false}
USER10233,user_9952,user_9952@example.com,2025-04-08,2026-01-31 05:06:16,2,{"theme": "dark", "notifications": false}
USER10234,user_2667,user_2667@example.com,2025-09-13,2026-01-30 22:06:16,17,{"theme": "light", "notifications": true}
USER10235,user_8199,user_8199@example.com,2025-06-08,2026-01-30 22:06:16,4,{"theme": "light", "notifications": false}
USER10236,user_5764,user_5764@example.com,2025-06-18,2026-01-31 07:06:16,35,{"theme": "dark", "notifications": false}
USER10237,user_4406,user_4406@example.com,2025-06-29,2026-01-30 20:06:16,56,{"theme": "dark", "notifications": false}
USER10238,user_3101,user_3101@example.com,2025-07-27,2026-01-31 13:06:16,73,{"theme": "dark", "notifications": true}
USER10239,user_4901,user_4901@example.com,2025-07-22,2026-01-31 10:06:16,37,{"theme": "dark", "notifications": false}
USER10240,user_1271,user_1271@example.com,2025-09-04,2026-01-31 03:06:16,11,{"theme": "light", "notifications": false}
USER10241,user_2011,user_2011@example.com,2025-03-02,2026-01-30 20:06:16,3,{"theme": "dark", "notifications": false}
